

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ts.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='target', exp='electronics_books', feature_num=5000, gpus='1', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='dade', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=target, exp=electronics_books, experiment=electronics_books, gpus=1, hostname=19_05_31_21_09_48, lambda_sal=0.0, lambda_ssl=0.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=1.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_05_31_21_09_48, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 1
current cuda device = 0
using cuda device = 0

SRC : ELECTRONICS: train: count=2000, test: count=5681
TGT : BOOKS: train: count=2000, test: count=4465

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : target
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from DADE ...
Encoder : DataParallel(
  (module): Encoder(
    (fc3): Linear(in_features=5000, out_features=50, bias=True)
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (drop1): Dropout(p=0.5)
    (fc4): Linear(in_features=50, out_features=2, bias=True)
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_05_31_21_09_48_cl-gpusrv1.nis.csa.iisc.ac.in_electronics_books_0_target_ts
**++ E:000/300 #B:015, t=000.08m, L=00.7053, ACC : S_TRN= 54.11%, T_TRN= 76.56%, S_TST= 54.32%, T_TST= 70.59%
**++ E:001/300 #B:015, t=000.43m, L=00.6360, ACC : S_TRN= 61.35%, T_TRN= 84.84%, S_TST= 60.18%, T_TST= 77.74%
**++ E:002/300 #B:015, t=000.78m, L=00.5953, ACC : S_TRN= 67.55%, T_TRN= 89.27%, S_TST= 68.49%, T_TST= 81.01%
**++ E:003/300 #B:015, t=001.09m, L=00.5413, ACC : S_TRN= 68.07%, T_TRN= 90.36%, S_TST= 69.16%, T_TST= 81.93%
**   E:004/300 #B:015, t=001.41m, L=00.4793, ACC : S_TRN= 71.25%, T_TRN= 91.51%, S_TST= 71.73%, T_TST= 81.46%
**++ E:005/300 #B:015, t=001.65m, L=00.4476, ACC : S_TRN= 72.19%, T_TRN= 90.73%, S_TST= 72.52%, T_TST= 82.46%
  ++ E:006/300 #B:015, t=002.06m, L=00.3981, ACC : S_TRN= 70.68%, T_TRN= 93.07%, S_TST= 72.15%, T_TST= 83.20%
**++ E:007/300 #B:015, t=002.38m, L=00.3628, ACC : S_TRN= 75.42%, T_TRN= 93.33%, S_TST= 73.19%, T_TST= 83.49%
**++ E:008/300 #B:015, t=002.75m, L=00.3249, ACC : S_TRN= 73.75%, T_TRN= 92.86%, S_TST= 73.56%, T_TST= 83.63%
     E:009/300 #B:015, t=003.12m, L=00.3009, ACC : S_TRN= 73.49%, T_TRN= 96.46%, S_TST= 73.00%, T_TST= 83.56%
**   E:010/300 #B:015, t=003.29m, L=00.2700, ACC : S_TRN= 72.92%, T_TRN= 96.61%, S_TST= 73.70%, T_TST= 83.47%
  ++ E:011/300 #B:015, t=003.51m, L=00.2439, ACC : S_TRN= 73.49%, T_TRN= 96.20%, S_TST= 73.58%, T_TST= 83.87%
     E:012/300 #B:015, t=003.80m, L=00.2228, ACC : S_TRN= 71.61%, T_TRN= 97.34%, S_TST= 73.58%, T_TST= 83.72%
     E:013/300 #B:015, t=004.01m, L=00.2221, ACC : S_TRN= 72.76%, T_TRN= 96.46%, S_TST= 72.17%, T_TST= 83.85%
  ++ E:014/300 #B:015, t=004.17m, L=00.2017, ACC : S_TRN= 73.49%, T_TRN= 97.71%, S_TST= 73.33%, T_TST= 83.99%
  ++ E:015/300 #B:015, t=004.62m, L=00.1738, ACC : S_TRN= 71.72%, T_TRN= 97.92%, S_TST= 73.23%, T_TST= 84.01%
  ++ E:016/300 #B:015, t=004.97m, L=00.1719, ACC : S_TRN= 75.00%, T_TRN= 98.49%, S_TST= 73.35%, T_TST= 84.08%
**   E:017/300 #B:015, t=005.33m, L=00.1629, ACC : S_TRN= 71.82%, T_TRN= 98.96%, S_TST= 73.74%, T_TST= 84.05%
**   E:018/300 #B:015, t=005.55m, L=00.1409, ACC : S_TRN= 73.80%, T_TRN= 98.70%, S_TST= 74.25%, T_TST= 84.01%
**   E:019/300 #B:015, t=005.77m, L=00.1259, ACC : S_TRN= 75.21%, T_TRN= 99.01%, S_TST= 74.41%, T_TST= 83.96%
     E:020/300 #B:015, t=006.05m, L=00.1387, ACC : S_TRN= 73.85%, T_TRN= 99.27%, S_TST= 73.97%, T_TST= 83.74%
**   E:021/300 #B:015, t=006.26m, L=00.1109, ACC : S_TRN= 73.85%, T_TRN= 99.01%, S_TST= 74.41%, T_TST= 83.92%
**   E:022/300 #B:015, t=006.53m, L=00.1142, ACC : S_TRN= 72.50%, T_TRN= 99.32%, S_TST= 74.56%, T_TST= 83.72%
     E:023/300 #B:015, t=006.80m, L=00.1169, ACC : S_TRN= 73.23%, T_TRN= 99.58%, S_TST= 74.44%, T_TST= 83.43%
     E:024/300 #B:015, t=007.03m, L=00.0946, ACC : S_TRN= 73.23%, T_TRN= 99.38%, S_TST= 73.98%, T_TST= 83.90%
     E:025/300 #B:015, t=007.23m, L=00.0893, ACC : S_TRN= 72.08%, T_TRN= 99.69%, S_TST= 73.91%, T_TST= 83.65%
     E:026/300 #B:015, t=007.43m, L=00.0887, ACC : S_TRN= 73.80%, T_TRN= 99.74%, S_TST= 74.11%, T_TST= 83.74%
     E:027/300 #B:015, t=007.61m, L=00.0846, ACC : S_TRN= 73.65%, T_TRN= 99.84%, S_TST= 74.07%, T_TST= 83.83%
     E:028/300 #B:015, t=007.85m, L=00.0738, ACC : S_TRN= 73.23%, T_TRN= 99.64%, S_TST= 73.98%, T_TST= 83.83%
     E:029/300 #B:015, t=008.08m, L=00.0753, ACC : S_TRN= 72.71%, T_TRN= 99.84%, S_TST= 74.09%, T_TST= 83.65%
     E:030/300 #B:015, t=008.32m, L=00.0678, ACC : S_TRN= 72.03%, T_TRN= 99.95%, S_TST= 73.91%, T_TST= 83.36%
     E:031/300 #B:015, t=008.52m, L=00.0660, ACC : S_TRN= 74.95%, T_TRN= 99.95%, S_TST= 74.37%, T_TST= 83.45%
     E:032/300 #B:015, t=008.75m, L=00.0641, ACC : S_TRN= 73.54%, T_TRN= 99.90%, S_TST= 73.74%, T_TST= 83.43%
     E:033/300 #B:015, t=008.98m, L=00.0656, ACC : S_TRN= 73.18%, T_TRN= 99.95%, S_TST= 74.25%, T_TST= 83.52%
     E:034/300 #B:015, t=009.22m, L=00.0618, ACC : S_TRN= 72.86%, T_TRN= 99.90%, S_TST= 74.25%, T_TST= 83.40%
     E:035/300 #B:015, t=009.44m, L=00.0585, ACC : S_TRN= 72.71%, T_TRN= 99.95%, S_TST= 74.30%, T_TST= 83.61%
     E:036/300 #B:015, t=009.64m, L=00.0553, ACC : S_TRN= 74.38%, T_TRN= 100.00%, S_TST= 74.23%, T_TST= 83.56%
     E:037/300 #B:015, t=009.84m, L=00.0529, ACC : S_TRN= 71.35%, T_TRN= 99.95%, S_TST= 74.41%, T_TST= 83.61%
     E:038/300 #B:015, t=010.06m, L=00.0578, ACC : S_TRN= 74.06%, T_TRN= 99.95%, S_TST= 74.35%, T_TST= 83.61%
